Model,MAE,MSE,R2
LinearRegression,82657.94605891759,10549721686.157969,0.9146454505138175
RobustRegression,199465.5595542932,61664910393.24949,0.5010881990728178
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44704861478,10604968525.173618,0.9141984653520285
SGDRegressor,1.0713505188306198e+18,1.2108947445428257e+36,-9.796976495716372e+24
ANN,199081.7862587251,61391004860.40225,0.5033042843927389
RandomForest,97714.3606384009,14835385041.07338,0.8799714680344309
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
